-3.452057,-3.926262,-8.226526,-6.212088
-2.138229,-3.926262,-2.821711,-0.818071
0.5413674,4.102644,-5.43763,-3.428763
-0.5534895,4.102644,-9.941643,-7.923777
-1.040421,3.299753,-10.58085,-8.561711
-1.844299,0.8910814,-9.796078,-7.778503
-1.893288,0.08819083,-8.633683,-6.618431
-2.380219,-0.7146997,-9.272894,-7.256365
-2.576172,-3.926262,-4.623316,-2.616077
-3.014115,-3.926262,-6.424922,-4.414083
-1.504333,-0.7146997,-5.669683,-3.660354
-1.942276,-0.7146997,-7.471289,-5.458359
0.05443638,3.299753,-6.07684,-4.066697
-0.7494426,0.8910814,-5.292065,-3.283489
-0.8214491,3.299753,-9.680051,-7.662708
-1.625328,0.8910814,-8.895275,-6.8795
-3.812958,-3.330136,-7.874203,-5.860468
-2.49913,-3.330136,-2.469387,-0.4664509
0.180467,4.69877,-5.085305,-3.077143
-0.9143898,4.69877,-9.589319,-7.572157
-1.401321,3.89588,-10.22853,-8.210091
-2.2052,1.487208,-9.443754,-7.426883
-2.254188,0.6843171,-8.28136,-6.266811
-2.741119,-0.1185734,-8.92057,-6.904745
-3.375015,-3.330136,-6.072598,-4.062462
-2.937072,-3.330136,-4.270992,-2.264457
-2.303177,-0.1185734,-7.118965,-5.106739
-1.865234,-0.1185734,-5.317359,-3.308733
-1.18235,3.89588,-9.327727,-7.311088
-0.3064642,3.89588,-5.724516,-3.715076
-1.986228,1.487208,-8.542951,-6.52788
-1.110343,1.487208,-4.939741,-2.931869
