3,-3.770798,3.432358,1
-3,-3.770798,3.432358,1
-3,4.800875,-1.718023,1
2,4.800875,-1.718023,1
3,3.943707,-1.202985,1
3,1.372205,0.3421292,1
2,0.5150381,0.8571673,1
3,-0.3421292,1.372205,1
-1,-3.770798,3.432358,1
1,-3.770798,3.432358,1
-1,-0.3421292,1.372205,1
1,-0.3421292,1.372205,1
-2,3.943707,-1.202985,1
-2,1.372205,0.3421292,1
2,3.943707,-1.202985,1
2,1.372205,0.3421292,1
3,-3.25576,4.289525,1
-3,-3.25576,4.289525,1
-3,5.315913,-0.8608558,1
2,5.315913,-0.8608558,1
3,4.458745,-0.3458177,1
3,1.887244,1.199296,1
2,1.030076,1.714335,1
3,0.1729088,2.229373,1
1,-3.25576,4.289525,1
-1,-3.25576,4.289525,1
1,0.1729088,2.229373,1
-1,0.1729088,2.229373,1
2,4.458745,-0.3458177,1
-2,4.458745,-0.3458177,1
2,1.887244,1.199296,1
-2,1.887244,1.199296,1
